transaction_id,from_account,to_account,amount,timestamp,is_fraud,fraud_type,fraud_network
TX-000386,ACC-00811,ACC-00522,14699.83,2026-09-04 10:02:27,0,normal,NONE
TX-007829,ACC-00345,ACC-01470,869.83,2026-09-07 15:29:03,0,normal,NONE
TX-008797,ACC-00273,ACC-00094,14777.63,2026-09-06 09:41:45,0,normal,NONE
TX-000721,ACC-01122,ACC-01763,5664.12,2026-09-09 14:12:13,0,normal,NONE
TX-010610,ACC-00665,ACC-01549,15076.89,2026-09-02 14:12:20,0,normal,NONE
TX-000064,ACC-01366,ACC-00211,6379.14,2026-09-09 21:39:47,0,normal,NONE
TX-003108,ACC-00264,ACC-00624,17244.93,2026-09-02 10:51:44,0,normal,NONE
TX-008696,ACC-00543,ACC-01070,4118.44,2026-09-02 18:25:01,0,normal,NONE
TX-008223,ACC-00905,ACC-00513,13125.38,2026-09-04 22:15:34,0,normal,NONE
TX-001023,ACC-00323,ACC-00561,2078.0,2026-09-09 11:13:34,0,normal,NONE
TX-007262,ACC-01115,ACC-00813,2151.89,2026-09-01 18:54:32,0,normal,NONE
TX-008043,ACC-00444,ACC-00933,6280.92,2026-09-07 20:34:43,0,normal,NONE
TX-006351,ACC-01056,ACC-01634,13290.03,2026-09-08 19:14:15,0,normal,NONE
TX-007309,ACC-00524,ACC-00365,9092.88,2026-09-07 21:38:03,0,normal,NONE
TX-009793,ACC-00693,ACC-01969,6553.72,2026-09-03 11:55:52,0,normal,NONE
TX-004817,ACC-00048,ACC-01348,3346.15,2026-09-09 11:19:13,0,normal,NONE
TX-003025,ACC-01585,ACC-00363,15534.91,2026-09-09 14:55:37,0,normal,NONE
TX-009242,ACC-00642,ACC-01591,14131.21,2026-09-06 13:31:29,0,normal,NONE
TX-010684,ACC-00592,ACC-00280,10916.55,2026-09-04 14:33:01,0,normal,NONE
TX-000009,ACC-01699,ACC-01288,11140.99,2026-09-06 14:45:04,0,normal,NONE
TX-008726,ACC-01698,ACC-01456,6985.0,2026-09-03 08:05:28,0,normal,NONE
TX-001356,ACC-00711,ACC-00919,12561.31,2026-09-01 13:18:46,0,normal,NONE
TX-002665,ACC-00334,ACC-00082,5239.35,2026-09-06 21:07:43,0,normal,NONE
TX-000873,ACC-01465,ACC-01510,11634.91,2026-09-07 15:16:05,0,normal,NONE
TX-008414,ACC-01001,ACC-01423,10325.05,2026-09-06 13:28:21,0,normal,NONE
TX-007795,ACC-01599,ACC-01493,13686.26,2026-09-06 16:56:06,0,normal,NONE
TX-005031,ACC-00165,ACC-00178,9866.18,2026-09-06 14:47:28,0,normal,NONE
TX-001787,ACC-00960,ACC-00978,5651.15,2026-09-07 20:10:03,0,normal,NONE
TX-003703,ACC-01234,ACC-00559,12087.5,2026-09-01 22:47:19,0,normal,NONE
TX-003773,ACC-01150,ACC-01866,15785.61,2026-09-08 18:40:45,0,normal,NONE
TX-004076,ACC-00444,ACC-01766,14046.91,2026-09-06 19:05:50,0,normal,NONE
TX-005445,ACC-01931,ACC-00471,4459.84,2026-09-02 15:25:47,0,normal,NONE
TX-006766,ACC-00817,ACC-01852,10363.81,2026-09-01 08:44:00,0,normal,NONE
TX-002772,ACC-00544,ACC-01490,8698.31,2026-09-02 15:29:58,0,normal,NONE
TX-011509,ACC-00429,ACC-00164,8464.22,2026-09-09 11:03:52,0,normal,NONE
TX-002747,ACC-00944,ACC-01084,14383.11,2026-09-07 20:56:33,0,normal,NONE
TX-006995,ACC-01155,ACC-01365,14666.6,2026-09-03 17:35:54,0,normal,NONE
TX-010495,ACC-00973,ACC-01165,7862.74,2026-09-05 12:12:49,0,normal,NONE
TX-012735,ACC-01951,ACC-00308,77815.34,2026-09-07 23:18:00,0,normal_high_value,NONE
TX-000796,ACC-00271,ACC-00223,317.8,2026-09-09 21:52:09,0,normal,NONE
TX-006998,ACC-01806,ACC-00487,16535.65,2026-09-09 21:21:40,0,normal,NONE
TX-011719,ACC-01039,ACC-01054,11503.96,2026-09-07 11:28:10,0,normal,NONE
TX-008080,ACC-01298,ACC-00009,2127.06,2026-09-06 18:30:25,0,normal,NONE
TX-006742,ACC-01624,ACC-00378,6798.52,2026-09-03 14:51:58,0,normal,NONE
TX-005911,ACC-01571,ACC-00836,10816.61,2026-09-04 14:08:31,0,normal,NONE
TX-003861,ACC-00615,ACC-01475,10038.3,2026-09-03 16:22:52,0,normal,NONE
TX-004468,ACC-00649,ACC-00438,1162.23,2026-09-01 17:00:37,0,normal,NONE
TX-002755,ACC-00292,ACC-00034,16211.05,2026-09-08 16:31:25,0,normal,NONE
TX-013025,ACC-00068,ACC-00359,62583.25,2026-09-06 16:58:00,0,normal_high_value,NONE
TX-006715,ACC-01133,ACC-01348,5577.01,2026-09-08 08:15:18,0,normal,NONE
TX-010350,ACC-00647,ACC-01018,1682.49,2026-09-06 16:19:55,0,normal,NONE
TX-010073,ACC-00294,ACC-00284,704.33,2026-09-02 18:41:06,0,normal,NONE
TX-003064,ACC-01468,ACC-01417,4528.87,2026-09-05 12:19:56,0,normal,NONE
TX-004044,ACC-00427,ACC-01278,3501.67,2026-09-04 14:56:10,0,normal,NONE
TX-012153,FRAUD-07-SRC-03,FRAUD-07-COLLECTOR,7044.62,2026-09-07 16:04:00,1,funneling,NET-07
TX-004722,ACC-01268,ACC-01709,16704.0,2026-09-07 11:43:37,0,normal,NONE
TX-002233,ACC-00101,ACC-00767,10328.58,2026-09-04 21:17:47,0,normal,NONE
TX-001237,ACC-00276,ACC-00640,12888.7,2026-09-08 11:36:43,0,normal,NONE
TX-003112,ACC-00142,ACC-00427,120.14,2026-09-06 23:02:33,0,normal,NONE
TX-003648,ACC-00379,ACC-00927,16584.65,2026-09-08 18:50:10,0,normal,NONE
TX-006968,ACC-00004,ACC-01637,5377.48,2026-09-01 09:13:54,0,normal,NONE
TX-003680,ACC-00669,ACC-01659,3246.7,2026-09-04 15:35:45,0,normal,NONE
TX-007887,ACC-01750,ACC-00089,10165.04,2026-09-01 10:38:51,0,normal,NONE
TX-010661,ACC-00581,ACC-01542,16994.84,2026-09-04 13:54:29,0,normal,NONE
TX-009246,ACC-01743,ACC-01073,11617.15,2026-09-08 21:07:01,0,normal,NONE
TX-009599,ACC-01478,ACC-01522,8619.39,2026-09-08 08:00:08,0,normal,NONE
TX-008655,ACC-01664,ACC-01490,15929.4,2026-09-04 14:45:33,0,normal,NONE
TX-008099,ACC-01589,ACC-00441,15043.1,2026-09-02 17:59:28,0,normal,NONE
TX-009752,ACC-01757,ACC-00960,12849.06,2026-09-04 08:52:38,0,normal,NONE
TX-007524,ACC-00400,ACC-01268,200.01,2026-09-03 08:58:03,0,normal,NONE
TX-006493,ACC-00933,ACC-01597,2534.29,2026-09-01 16:01:49,0,normal,NONE
TX-011179,ACC-01980,ACC-00456,11322.81,2026-09-09 10:09:48,0,normal,NONE
TX-004786,ACC-01316,ACC-00035,13935.47,2026-09-04 08:07:06,0,normal,NONE
TX-004844,ACC-00757,ACC-01245,14690.06,2026-09-07 17:23:02,0,normal,NONE
TX-011132,ACC-01270,ACC-00820,5765.11,2026-09-06 17:22:02,0,normal,NONE
TX-010183,ACC-01498,ACC-01884,13354.84,2026-09-05 21:35:36,0,normal,NONE
TX-012398,ACC-00484,ACC-01233,34376.96,2026-09-09 16:03:00,0,normal_high_value,NONE
TX-011008,ACC-01347,ACC-00927,4967.26,2026-09-07 19:54:56,0,normal,NONE
TX-006844,ACC-00364,ACC-01879,12378.81,2026-09-04 09:21:29,0,normal,NONE
TX-011598,ACC-01978,ACC-00895,11950.76,2026-09-05 12:52:37,0,normal,NONE
TX-012239,FRAUD-10-SRC-14,FRAUD-10-COLLECTOR,4060.01,2026-09-03 12:26:00,1,funneling,NET-10
TX-007627,ACC-01304,ACC-00151,4324.05,2026-09-04 09:06:01,0,normal,NONE
TX-005405,ACC-01016,ACC-00823,11367.13,2026-09-04 23:08:19,0,normal,NONE
TX-001419,ACC-00650,ACC-00783,4644.06,2026-09-02 11:34:10,0,normal,NONE
TX-005251,ACC-00001,ACC-00619,9780.36,2026-09-09 09:37:19,0,normal,NONE
TX-009223,ACC-00457,ACC-01934,6280.23,2026-09-06 12:08:35,0,normal,NONE
TX-000834,ACC-00246,ACC-01885,1431.21,2026-09-08 08:48:54,0,normal,NONE
TX-011985,ACC-00550,ACC-00029,2564.61,2026-09-02 21:55:24,0,normal,NONE
TX-008396,ACC-01062,ACC-00407,237.87,2026-09-02 21:52:23,0,normal,NONE
TX-006200,ACC-01561,ACC-00603,9234.73,2026-09-05 11:56:45,0,normal,NONE
TX-000994,ACC-00276,ACC-00250,12509.26,2026-09-05 18:33:26,0,normal,NONE
TX-000534,ACC-00336,ACC-01017,17155.23,2026-09-09 16:10:23,0,normal,NONE
TX-009907,ACC-01555,ACC-00010,9328.6,2026-09-04 14:37:07,0,normal,NONE
TX-007979,ACC-00538,ACC-01574,8934.23,2026-09-09 14:49:29,0,normal,NONE
TX-010603,ACC-00770,ACC-00248,3952.22,2026-09-07 13:12:28,0,normal,NONE
TX-011243,ACC-00044,ACC-00257,17802.93,2026-09-04 13:50:30,0,normal,NONE
TX-008813,ACC-01561,ACC-00249,5110.5,2026-09-02 14:28:17,0,normal,NONE
TX-011629,ACC-00661,ACC-01863,14433.46,2026-09-07 09:07:34,0,normal,NONE
TX-005636,ACC-01597,ACC-00111,5693.71,2026-09-09 18:31:47,0,normal,NONE
TX-012763,ACC-01782,ACC-01779,37505.03,2026-09-08 14:30:00,0,normal_high_value,NONE
TX-007689,ACC-01295,ACC-00887,12314.05,2026-09-08 23:54:49,0,normal,NONE
TX-011539,ACC-01004,ACC-00409,4907.61,2026-09-01 18:07:44,0,normal,NONE
TX-001044,ACC-00928,ACC-01089,5261.23,2026-09-08 14:13:43,0,normal,NONE
TX-006385,ACC-01477,ACC-01356,930.44,2026-09-01 15:59:36,0,normal,NONE
TX-003060,ACC-01985,ACC-00936,13594.24,2026-09-01 16:15:27,0,normal,NONE
TX-010664,ACC-00332,ACC-00799,7229.13,2026-09-09 10:34:03,0,normal,NONE
TX-003469,ACC-00998,ACC-00029,9029.55,2026-09-06 20:35:56,0,normal,NONE
TX-005207,ACC-00296,ACC-00119,3725.27,2026-09-09 11:44:37,0,normal,NONE
TX-002981,ACC-00835,ACC-01927,13453.67,2026-09-06 08:49:50,0,normal,NONE
TX-002994,ACC-00435,ACC-00479,11619.54,2026-09-02 09:06:42,0,normal,NONE
TX-002055,ACC-00674,ACC-00498,14386.13,2026-09-06 15:29:20,0,normal,NONE
TX-004036,ACC-01852,ACC-00761,13983.8,2026-09-05 15:39:02,0,normal,NONE
TX-010101,ACC-01396,ACC-00384,12517.09,2026-09-08 19:02:53,0,normal,NONE
TX-000305,ACC-00382,ACC-01023,9329.06,2026-09-09 11:16:49,0,normal,NONE
TX-009593,ACC-01275,ACC-01844,7567.03,2026-09-06 10:39:25,0,normal,NONE
TX-011717,ACC-00529,ACC-01860,17333.72,2026-09-06 15:48:04,0,normal,NONE
TX-004550,ACC-01861,ACC-00993,16811.28,2026-09-02 14:27:30,0,normal,NONE
TX-006559,ACC-01891,ACC-00798,6067.69,2026-09-06 11:05:10,0,normal,NONE
TX-005285,ACC-01591,ACC-00992,2887.44,2026-09-09 23:12:52,0,normal,NONE
TX-005703,ACC-01075,ACC-00945,16933.93,2026-09-06 17:17:21,0,normal,NONE
TX-010398,ACC-01431,ACC-01616,2116.65,2026-09-02 23:58:48,0,normal,NONE
TX-009745,ACC-00032,ACC-01267,123.68,2026-09-02 19:30:41,0,normal,NONE
TX-011531,ACC-00996,ACC-00138,7636.44,2026-09-06 21:30:03,0,normal,NONE
TX-008877,ACC-01946,ACC-00487,705.43,2026-09-01 08:55:20,0,normal,NONE
TX-000456,ACC-00410,ACC-01213,17950.82,2026-09-03 08:46:29,0,normal,NONE
TX-005839,ACC-00046,ACC-01603,6004.6,2026-09-06 16:24:22,0,normal,NONE
TX-000519,ACC-00645,ACC-01621,2534.15,2026-09-05 10:15:35,0,normal,NONE
TX-006501,ACC-00241,ACC-01029,8348.08,2026-09-01 15:15:10,0,normal,NONE
TX-008834,ACC-00833,ACC-00252,15103.36,2026-09-07 13:04:47,0,normal,NONE
TX-006557,ACC-01873,ACC-00265,8574.83,2026-09-02 22:26:58,0,normal,NONE
TX-001484,ACC-01136,ACC-00504,3230.17,2026-09-01 13:53:16,0,normal,NONE
TX-006877,ACC-01633,ACC-00352,1585.56,2026-09-02 17:08:24,0,normal,NONE
TX-010330,ACC-01207,ACC-01965,13654.62,2026-09-07 20:18:01,0,normal,NONE
TX-009021,ACC-01977,ACC-00337,2680.07,2026-09-08 23:21:02,0,normal,NONE
TX-000071,ACC-01044,ACC-00819,12237.74,2026-09-09 18:01:07,0,normal,NONE
TX-007552,ACC-00904,ACC-01635,14558.52,2026-09-06 13:51:26,0,normal,NONE
TX-011716,ACC-00932,ACC-01696,2115.83,2026-09-08 18:59:32,0,normal,NONE
TX-006418,ACC-01864,ACC-01843,7690.38,2026-09-07 23:19:03,0,normal,NONE
TX-002474,ACC-01828,ACC-00454,12829.14,2026-09-02 14:31:13,0,normal,NONE
TX-002216,ACC-01966,ACC-01373,7242.63,2026-09-01 17:27:16,0,normal,NONE
TX-005454,ACC-01303,ACC-01196,14697.23,2026-09-05 16:33:04,0,normal,NONE
TX-003805,ACC-00325,ACC-01116,10709.13,2026-09-07 21:00:21,0,normal,NONE
TX-008453,ACC-01816,ACC-00482,6311.52,2026-09-05 21:35:36,0,normal,NONE
TX-010357,ACC-02000,ACC-01813,14291.83,2026-09-01 22:57:25,0,normal,NONE
TX-005768,ACC-00702,ACC-00664,16139.99,2026-09-04 20:08:36,0,normal,NONE
TX-001922,ACC-01748,ACC-00020,10700.21,2026-09-08 08:31:55,0,normal,NONE
TX-002956,ACC-01400,ACC-00383,5303.12,2026-09-01 10:30:24,0,normal,NONE
TX-012621,ACC-01084,ACC-01069,20281.13,2026-09-04 16:25:00,0,normal_high_value,NONE
TX-002302,ACC-01104,ACC-01685,3304.15,2026-09-02 15:13:19,0,normal,NONE
TX-009800,ACC-01659,ACC-00067,13788.77,2026-09-02 11:40:22,0,normal,NONE
TX-001784,ACC-01028,ACC-00627,12774.16,2026-09-07 13:17:05,0,normal,NONE
TX-008569,ACC-01178,ACC-01075,16906.95,2026-09-04 15:56:59,0,normal,NONE
TX-000411,ACC-01442,ACC-00419,7151.44,2026-09-04 18:49:18,0,normal,NONE
TX-013190,ACC-01634,ACC-01488,20152.77,2026-09-04 09:31:00,0,normal_high_value,NONE
TX-010540,ACC-01955,ACC-01040,6416.01,2026-09-09 22:57:31,0,normal,NONE
TX-007537,ACC-01881,ACC-00689,9803.9,2026-09-09 23:23:02,0,normal,NONE
TX-000609,ACC-00053,ACC-00424,3091.56,2026-09-05 10:30:54,0,normal,NONE
TX-006970,ACC-00632,ACC-01571,9437.22,2026-09-08 17:55:44,0,normal,NONE
TX-011506,ACC-01041,ACC-01346,9956.8,2026-09-03 15:09:15,0,normal,NONE
TX-010198,ACC-00572,ACC-00958,13906.46,2026-09-02 13:27:31,0,normal,NONE
TX-006120,ACC-01795,ACC-01002,8414.95,2026-09-02 11:43:21,0,normal,NONE
TX-003920,ACC-01044,ACC-00803,15254.53,2026-09-07 19:59:44,0,normal,NONE
TX-002304,ACC-00615,ACC-01900,10979.29,2026-09-03 18:10:12,0,normal,NONE
TX-000658,ACC-01196,ACC-01189,16998.53,2026-09-02 23:56:12,0,normal,NONE
TX-012748,ACC-00994,ACC-00265,67271.46,2026-09-03 09:18:00,0,normal_high_value,NONE
TX-000539,ACC-01584,ACC-00211,16098.95,2026-09-02 15:47:32,0,normal,NONE
TX-007234,ACC-01416,ACC-00222,3037.47,2026-09-08 10:39:35,0,normal,NONE
TX-003577,ACC-00423,ACC-00874,5408.78,2026-09-02 18:39:18,0,normal,NONE
TX-007535,ACC-00444,ACC-00819,7411.42,2026-09-09 15:30:53,0,normal,NONE
TX-009055,ACC-00467,ACC-01186,3174.13,2026-09-03 21:46:45,0,normal,NONE
TX-001490,ACC-01563,ACC-01262,10580.12,2026-09-09 17:50:09,0,normal,NONE
TX-013144,ACC-00985,ACC-01822,64064.66,2026-09-04 22:36:00,0,normal_high_value,NONE
TX-003255,ACC-00992,ACC-01837,16409.74,2026-09-02 12:44:16,0,normal,NONE
TX-010747,ACC-00730,ACC-01044,2588.5,2026-09-07 19:19:59,0,normal,NONE
TX-008751,ACC-01138,ACC-00880,7969.03,2026-09-06 20:30:23,0,normal,NONE
TX-006149,ACC-01603,ACC-00110,12762.65,2026-09-05 10:03:56,0,normal,NONE
TX-000543,ACC-00853,ACC-01876,12970.78,2026-09-05 10:36:23,0,normal,NONE
TX-007964,ACC-01839,ACC-01623,11870.72,2026-09-02 08:02:38,0,normal,NONE
TX-001143,ACC-00625,ACC-00332,12665.41,2026-09-01 22:29:49,0,normal,NONE
TX-007536,ACC-00718,ACC-00737,17605.7,2026-09-06 08:17:53,0,normal,NONE
TX-002448,ACC-01938,ACC-00827,10340.57,2026-09-07 21:24:44,0,normal,NONE
TX-001600,ACC-00176,ACC-00774,2261.77,2026-09-02 18:01:37,0,normal,NONE
TX-001040,ACC-01221,ACC-00949,5870.3,2026-09-02 22:11:19,0,normal,NONE
TX-002478,ACC-00762,ACC-01880,15083.42,2026-09-01 12:09:38,0,normal,NONE
TX-000625,ACC-00541,ACC-00785,11793.08,2026-09-08 09:11:17,0,normal,NONE
TX-013087,ACC-01464,ACC-00557,27184.93,2026-09-05 21:16:00,0,normal_high_value,NONE
TX-003435,ACC-01159,ACC-01763,3365.5,2026-09-03 21:19:10,0,normal,NONE
TX-002272,ACC-01007,ACC-01542,4420.22,2026-09-05 18:18:44,0,normal,NONE
TX-011710,ACC-00977,ACC-01628,7754.48,2026-09-03 19:41:53,0,normal,NONE
TX-011593,ACC-00098,ACC-00633,4824.58,2026-09-03 08:13:28,0,normal,NONE
TX-005563,ACC-01215,ACC-00965,2136.84,2026-09-09 21:04:51,0,normal,NONE
TX-002900,ACC-01823,ACC-00922,16077.99,2026-09-02 18:59:15,0,normal,NONE
TX-013244,ACC-00978,ACC-00202,43959.65,2026-09-03 18:35:00,0,normal_high_value,NONE
TX-008826,ACC-01992,ACC-01329,14012.75,2026-09-04 08:08:52,0,normal,NONE
TX-012340,ACC-00670,ACC-00822,48796.2,2026-09-03 21:57:00,0,normal_high_value,NONE
TX-011178,ACC-00344,ACC-00784,1520.73,2026-09-07 11:12:17,0,normal,NONE
TX-006867,ACC-01429,ACC-00895,3855.85,2026-09-08 13:37:14,0,normal,NONE
TX-009958,ACC-00897,ACC-00275,1815.67,2026-09-09 19:50:35,0,normal,NONE
TX-011404,ACC-00599,ACC-00201,5474.33,2026-09-06 21:52:26,0,normal,NONE
TX-000100,ACC-00893,ACC-00995,541.87,2026-09-06 20:46:10,0,normal,NONE
TX-005260,ACC-01247,ACC-01040,4655.62,2026-09-07 19:47:26,0,normal,NONE
TX-001958,ACC-01058,ACC-00296,10125.65,2026-09-08 12:14:57,0,normal,NONE
TX-001581,ACC-01496,ACC-01486,6749.16,2026-09-07 21:25:47,0,normal,NONE
TX-012302,ACC-00820,ACC-00299,55533.35,2026-09-06 08:17:00,0,normal_high_value,NONE
TX-011628,ACC-00144,ACC-01245,12507.19,2026-09-02 21:25:21,0,normal,NONE
TX-006374,ACC-01767,ACC-01286,10560.3,2026-09-06 22:20:13,0,normal,NONE
TX-001198,ACC-01694,ACC-01731,12335.71,2026-09-05 16:43:44,0,normal,NONE
TX-004848,ACC-00050,ACC-01533,5148.57,2026-09-05 14:57:05,0,normal,NONE
TX-011520,ACC-00191,ACC-00623,16890.59,2026-09-03 13:52:43,0,normal,NONE
TX-010613,ACC-01025,ACC-00521,524.56,2026-09-02 13:22:56,0,normal,NONE
TX-007519,ACC-00979,ACC-01316,6381.65,2026-09-07 20:26:59,0,normal,NONE
TX-005858,ACC-00174,ACC-01520,13533.28,2026-09-08 19:54:27,0,normal,NONE
TX-009636,ACC-01027,ACC-01945,14176.07,2026-09-04 14:02:23,0,normal,NONE
TX-005757,ACC-00066,ACC-01000,7438.2,2026-09-09 18:13:03,0,normal,NONE
TX-012716,ACC-00455,ACC-00171,54689.92,2026-09-05 14:26:00,0,normal_high_value,NONE
TX-005677,ACC-01600,ACC-01255,13816.96,2026-09-08 21:50:48,0,normal,NONE
TX-007878,ACC-00431,ACC-00493,14636.6,2026-09-09 15:06:42,0,normal,NONE
TX-005406,ACC-00774,ACC-00200,7063.27,2026-09-01 14:51:50,0,normal,NONE
TX-002975,ACC-00157,ACC-00638,10874.37,2026-09-02 17:06:34,0,normal,NONE
TX-006910,ACC-00932,ACC-00492,15362.54,2026-09-06 22:24:19,0,normal,NONE
TX-007303,ACC-00687,ACC-01533,7899.33,2026-09-04 18:40:03,0,normal,NONE
TX-011217,ACC-00227,ACC-00220,7422.5,2026-09-07 20:42:52,0,normal,NONE
TX-003670,ACC-00894,ACC-01657,2624.05,2026-09-02 14:11:01,0,normal,NONE
TX-002436,ACC-01321,ACC-02000,9982.23,2026-09-04 22:17:36,0,normal,NONE
TX-001329,ACC-00795,ACC-00976,4847.26,2026-09-07 10:48:27,0,normal,NONE
TX-010036,ACC-01100,ACC-00899,15349.12,2026-09-03 23:31:55,0,normal,NONE
TX-011813,ACC-00904,ACC-00134,12956.58,2026-09-06 12:25:05,0,normal,NONE
TX-004827,ACC-01550,ACC-00884,17582.85,2026-09-02 15:20:06,0,normal,NONE
TX-002778,ACC-00673,ACC-01925,9168.85,2026-09-08 20:03:37,0,normal,NONE
TX-009607,ACC-01191,ACC-00290,3020.23,2026-09-09 20:32:30,0,normal,NONE
TX-010067,ACC-01666,ACC-00058,10334.57,2026-09-08 14:03:52,0,normal,NONE
TX-002449,ACC-00972,ACC-00284,15253.83,2026-09-03 11:19:22,0,normal,NONE
TX-006685,ACC-00553,ACC-00009,5454.99,2026-09-04 10:01:58,0,normal,NONE
TX-004537,ACC-00639,ACC-01344,16183.27,2026-09-03 09:09:33,0,normal,NONE
TX-003208,ACC-01368,ACC-01450,1202.7,2026-09-03 09:16:39,0,normal,NONE
TX-006849,ACC-00028,ACC-00872,7584.52,2026-09-07 11:46:01,0,normal,NONE
TX-009602,ACC-01433,ACC-01986,211.1,2026-09-09 23:32:40,0,normal,NONE
TX-009101,ACC-00361,ACC-00757,16946.93,2026-09-04 11:58:19,0,normal,NONE
TX-010299,ACC-01971,ACC-00094,407.22,2026-09-08 17:36:17,0,normal,NONE
TX-005041,ACC-00319,ACC-00138,4575.72,2026-09-06 10:13:56,0,normal,NONE
TX-001324,ACC-00782,ACC-00190,7191.48,2026-09-03 15:49:55,0,normal,NONE
TX-004697,ACC-01242,ACC-01080,12496.59,2026-09-04 23:44:06,0,normal,NONE
TX-006730,ACC-00318,ACC-00367,10634.27,2026-09-03 11:01:39,0,normal,NONE
TX-005845,ACC-01957,ACC-00848,11590.65,2026-09-03 12:31:49,0,normal,NONE
